Upc,Department,qty,cents,incltaxes,inclfees,Name,size,ebt,byweight,Fee Multiplier,cost_qty,cost_cents,variable_price,addstock,setstock,pack_name,pack_qty,pack_upc,unit_upc,unit_count,is_oneclick,oc_color,oc_border_color,oc_text_color,oc_fixedpos,oc_page,oc_key,oc_relpos
200582000003,Whiskey,1,7799,n,n,Bandipur Whisky,,n,n,1,1,6000,n,,0,,,,,,n,,,,,,,
263973000006,Vodka,1,2219,n,n,Ruslan Nepalese Vodka,750 ml,n,n,1,1,1700,n,,12,,,,,,n,,,,,,,
55921541,Vodka,1,0,n,n,360 Bing Cherry,,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
60014399,Vitamins/Medicine,1,269,n,n,Vaseline,50ml,,n,1,0,0,n,,0,,,,,,n,,,,,,,
75021184,Drinks,1,0,n,n,Lucas,,n,n,1,0,0,n,,0,,,,,,n,,,,,,,
85678446,Tequila,1,0,n,n,Casamigos,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
000804320014,Cocktail,1,0,n,n,Absolut-Vodka_Cran-Pineapple_,4 PK,n,n,1,1,836,n,,0,,,,,,n,,,,,,,
005020000610,Vodka,1,2359,n,n,SUNNY D VOD SELT GAMEDAY CAN8P WRP,12OZ,,n,1,1,1811,n,,3,,,,,,n,,,,,,,
008471590037,Mix,1,229,n,n,CATALYST CHRY LM,12 OZ,n,n,1,1,179,n,,12,,,,,0,n,,,,,,,
008517670013,Alcohol,1,0,n,n,Moonshine pickle,,n,n,1,1,1649,n,,0,,,,,,n,,,,,,,
008660000019,Tobacco,1,0,n,n,Zig Zag Braunstein Freres,1,,n,1,1,0,n,,0,,,,,,n,,,,,,,
008660000026,Tobacco,1,0,n,n,Zig-Zag Slow Burning Wrapping Paper,1 ct,,n,1,1,0,n,,0,,,,,,n,,,,,,,
008660007322,Tobacco,1,0,n,n,Zig Zag Ultra Thin,1,,n,1,1,0,n,,0,,,,,,n,,,,,,,
009016013165,Tequila,1,3219,n,n,Mezcal Lajita ,750 Ml,n,n,1,1,2474,n,,6,,,,,,n,,,,,,,
009016013172,Tequila,1,459,n,n,Mezcal Lajita Tequila 50 Ml,50 Ml,n,n,1,1,350,n,,96,,,,,0,n,,,,,,,
009016014063,Tequila,1,0,n,n,Hijo de Villa Mexicano por Tradicion,,n,n,1,1,12600,n,,0,,,,,,n,,,,,,,
009016014230,Tequila,1,3119,n,n,AGAVALES 100% AGAVE BLANCO TEQ,1.75L,n,n,1,1,2399,n,,6,,,,,,n,,,,,,,
009016014254,Tequila,1,1549,n,n,Agavales Blanco_,750ml,n,n,1,1,1189,n,,12,,,,,,n,,,,,,,
009016014278,Tequila,1,3119,n,n,AGAVALES 100% AGAVE REPOSADO TEQ,1.75L,n,n,1,1,2244,n,,6,,,,,,n,,,,,,,
009016014292,Tequila,1,1549,n,n,Agavales Reposado_,750ml,n,n,1,1,1189,n,,12,,,,,,n,,,,,,,
009016014728,Tequila,1,0,n,n,HIJOS DE VILLA TEQUILA,0,,n,1,1,0,n,,0,,,,,,n,,,,,,,
009016015008,Whiskey,1,3699,n,n,Texas Crown Club,1.75L,n,n,1,1,2859,n,,12,,,,,,n,,,,,,,
009016015060,Whiskey(Canadian),1,2179,n,n,Texas Crown Club_,750 ML,n,n,1,1,1674,n,,12,,,,,,n,,,,,,,
009016015923,Tequila,1,0,n,n,Agavales 100% Agave Blanco,50ml,n,n,1,1,169,n,,0,,,,,,n,,,,,,,
009016015947,Tequila,1,149,n,n,Agavales 100% Reposado,50ml,n,n,1,1,119,n,,120,,,,,,n,,,,,,,
009016016449,Whiskey,1,9739,n,n,Caramel Apple,750ml,n,n,1,1,7496,n,,3,,,,,,n,,,,,,,
009016017187,Alcohol,1,0,n,n,Morales Gold,,n,n,1,1,1199,n,,0,,,,,,n,,,,,,,
009016017194,Alcohol,1,0,n,n,Morales Blanco,,n,n,1,1,1199,n,,0,,,,,,n,,,,,,,
009016017644,Whiskey,1,0,n,n,Cafka Coffee Liqueur 750Ml,750Ml,,n,1,1,0,n,,0,,,,,,n,,,,,,,
009016018016,Whiskey,1,0,n,n,Texas Crown Club,375ml,n,n,1,1,909,n,,0,,,,,,n,,,,,,,
009016018542,Alcohol,1,1819,n,n,LA CAVA MORALES CLASICO GOLD,1.75L,n,n,1,1,1399,n,,6,,,,,0,n,,,,,,,
009016018559,Alcohol,1,1819,n,n,LA CAVA MORALES CLASICO SLVR,1.75L,n,n,1,1,1399,n,,6,,,,,0,n,,,,,,,
009016018580,Whiskey,1,0,n,n,Texas Crown Club_,1L,n,n,1,1,2699,n,,0,,,,,,n,,,,,,,
009016018641,Vodka,1,5299,n,n,Frio River,750ml,n,n,1,1,4080,n,,3,,,,,,n,,,,,,,
009016018665,Vodka,1,4869,n,n,Frivo river 1.75,1.75L,n,n,1,1,3748,n,,3,,,,,,n,,,,,,,
009016019211,Whiskey,1,0,n,n,Texas Select Club,750ml,n,n,1,1,1874,n,,0,,,,,,n,,,,,,,
009016019334,Whiskey,1,0,n,n,SELECT CLUB PECAN 750 ML,750ml,n,n,1,1,1874,n,,0,,,,,,n,,,,,,,
009016019624,Whiskey,1,0,n,n,SELECT CLUB 750ML,750ml,n,n,1,1,1874,n,,0,,,,,,n,,,,,,,
009016019747,Alcohol,1,0,n,n,Agavales Plat,,n,n,1,1,2100,n,,0,,,,,,n,,,,,,,
009016019754,Alcohol,1,0,n,n,Agavales Repo,,n,n,1,1,2349,n,,0,,,,,,n,,,,,,,
009016019761,Tequila,1,0,n,n,Agavales Anejo Engraved,750ml,n,n,1,1,3575,n,,0,,,,,,n,,,,,,,
009016019808,Tequila,1,0,n,n,Agavales Premium repo,,n,n,1,1,14400,n,,0,,,,,,n,,,,,,,
009016020156,Whiskey,1,0,n,n,Southern Crown Club,750ml,n,n,1,1,1950,n,,0,,,,,,n,,,,,,,
009114611003,Tax,1,0,n,n,lighter Fluid,32 oz,,n,1,1,0,n,,0,,,,,,n,,,,,,,
009300000383,Grocery Non-Taxable,1,0,n,n,Mt. Olive:Hamburger Dill Chips,16.00 OZ,,n,1,1,0,n,,0,,,,,,n,,,,,,,
009300000772,Tax,1,0,n,n,Mt. Olive,24.00 OZ,,n,1,1,0,n,,0,,,,,,n,,,,,,,
009300000802,General Food,1,0,n,n,Mt. Olive:Kosher Dill Spears,24.00 FL OZ,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
009300001304,General Food,1,0,n,n,Mt. Olive:Hamburger Dill Chips Mini Stuffers Fresh Pack,16.00 OZ,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
009300006507,Grocery Non-Taxable,1,0,n,n,Mt. Olive:Kosher Spears,24.00 OZ,,n,1,1,0,n,,0,,,,,,n,,,,,,,
009800000524,Drinks,1,0,n,n,Kinder 1,1,n,n,1,1,139,n,,0,,,,,,n,,,,,,,
009800000531,Drinks,1,0,n,n,Joy,,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
009800000555,Drinks,1,0,n,n,kinder Bueno,1.5 oz,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
009800000715,Drinks,1,0,n,n,Ferrero Rocher:Fine Hazelnut Chocolates,5.30 OZ,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
009800006304,Drinks,1,0,n,n,Tic Tac Fruit Adventure,3.4 Oz,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
009800007608,Drinks,1,0,n,n,Tic Tac:Fruit Adventure,1.00 OZ,n,n,1,1,104,n,,0,,,,,,n,,,,,,,
009800007615,Drinks,1,0,n,n,Tic Tac Freshmints,1.00 OZ,n,n,1,1,104,n,,0,,,,,,n,,,,,,,
009800007639,Drinks,1,0,n,n,Tic Tac Orange,1.00 OZ,n,n,1,1,104,n,,0,,,,,,n,,,,,,,
009800007677,Drinks,1,0,n,n,Tic Tac Big Pack Wintergreen Singles,1.00 Oz,n,n,1,1,104,n,,0,,,,,,n,,,,,,,
009800200412,Drinks,1,0,n,n,Ferrero Collection,,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
009800200511,Grocery Non-Taxable,1,0,n,n,Chocolate,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
009800554041,Drinks,1,0,n,n,bueno,King,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
010019000830,Liquor,1,0,n,n,Laphroiag 10 yers cask,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
010700000224,Drinks,1,0,n,n,Jolly Rancher Bites Awesome Twosome,1.80 oz,n,n,1,1,72,n,,0,,,,,,n,,,,,,,
010700450166,Drinks,1,0,n,n,Jolly Rancher Bites,6.5 oz,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
010700529855,Drinks,1,0,n,n,Jolly Ranchers,1,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
010700530004,Drinks,1,0,n,n,Hersheys Mr Gdbar 1.75oz,pk,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
010700702302,Drinks,1,0,n,n,Jolly Rancher:Original Flavors,7.00 OZ,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
010700804228,Drinks,1,0,n,n,"Zero:Caramel, Peanut and Almond Nougat covered with White Fudge",1.85 OZ,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
010700804273,Drinks,1,0,n,n,Zero:Candy Bar,3.40 OZ,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
010700807229,Drinks,1,0,n,n,PayDay Peanut Caramel Bar,1.85 OZ,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
010700807274,Drinks,1,0,n,n,PayDay:King Size,3.40 OZ,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
010700858351,Drinks,1,0,n,n,JOLLY RANCH 5 OZ,,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
010700858368,Drinks,1,0,n,n,Jolly Rancher Gummi,0,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
010700858559,Drinks,1,0,n,n,Payday,Kingsize,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
010700858900,Drinks,1,0,n,n,Jolly rancher,5oz,n,n,1,0,0,n,,0,,,,,,n,,,,,,,
010900001564,Tax,1,0,n,n,Reynolds Wrappers Pop-Up Foil Sheets:Pop-Up Pre-Cut,25.00 CT,,n,1,1,0,n,,0,,,,,,n,,,,,,,
011000000006,Cigarettes,1,679,n,n,Montego King,King,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
011000000013,Cigarettes,1,679,n,n,Montego,box,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
011000000020,Cigarettes,1,0,n,n,Cig,1,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
011000000037,Cigarettes,1,679,n,n,Montego 100's Gold,1,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
011000000044,Cigarettes,1,679,n,n,Montego 100's Orange,1,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
011000000617,Cigarettes,1,679,n,n,Montego Menthol,1,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
011000000631,Cigarettes,1,679,n,n,Montego Menthol Silver,1,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
011000002888,Grocery Non-Taxable,1,0,n,n,Eagle 100s,1,,n,1,1,0,n,,0,,,,,,n,,,,,,,
011000002918,Cigarettes,1,0,n,n,Eagle Orange 100s,,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
011000004066,Cigarettes,1,0,n,n,Pyramid Blue 100 Box FSC,1.00 PK,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
011000004073,Cigarettes,1,0,n,n,Pyramid Menthol Silver 100 Box FSC,1.00 PK,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
011000004080,Cigarettes,1,0,n,n,Pyramid Red 100 Box FSC,1.00 PK,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
011000004097,Cigarettes,1,0,n,n,Pyramid Menthol Gold 100 Box FSC,1.00 PK,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
011000004929,Cigarettes,1,0,n,n,Pyramid Red King Box FSC,1.00 PK,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
011000010029,Cigarettes,1,679,n,n,Montego 100,1.00 Ct,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
011034410055,Alcohol,1,0,n,n,Martini & Rossi Rosso:Vermouth,750.00 ML,n,n,1,1,1050,n,,0,,,,,,n,,,,,,,
011034410079,Alcohol,1,0,n,n,Martini & Rossi Rosso:Vermouth,375.00 ML,n,n,1,1,489,n,,0,,,,,,n,,,,,,,
011034420047,Whiskey,1,0,n,n,Martini Vermouth 1L,1L,,n,1,1,0,n,,0,,,,,,n,,,,,,,
011034420054,Liquor,1,0,n,n,Martini & Rossi:Vermouth,750.00 ML,n,n,1,1,1000,n,,0,,,,,,n,,,,,,,
011034420078,Alcohol,1,0,n,n,Martini & Rossi:Vermouth,375.00 ML,n,n,1,1,499,n,,0,,,,,,n,,,,,,,
011034500053,Alcohol,1,0,n,n,Martini & Rossi Asti:Moscato Blanco,750.00 ML,n,n,1,1,1050,n,,0,,,,,,n,,,,,,,
011111240919,Drinks,1,0,n,n,Excite Revitalizing Shower Gel,16 Oz,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
011111262850,Drinks,1,0,n,n,AXE Apollo Shower Gel,16 oz,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
011115871324,Drinks,1,0,n,n,Imperial:Stick East Coast Vegetable Oil,1.00 LB,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
011137012125,General Food,1,0,n,n,Fischerr's honey,12oz,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
011152071817,General Food,1,0,n,n,Coconut ,,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
011210000018,General Food,1,0,n,n,Tabasco Sauce,2 oz,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
011210000155,General Food,1,0,n,n,Tabasco:Original Flavor,5.00 FL OZ,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
011284003168,Grocery Non-Taxable,1,0,n,n,JJ'S Strawberry & Cream Pie,4 oz,,n,1,1,0,n,,0,,,,,,n,,,,,,,
012000000133,Drinks,1,0,n,n,Pepsi Cola,12 oz,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
012000000850,Drinks,1,0,n,n,Mountain Dew,12 oz,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
012000001291,Drinks,1,225,n,n,Pepsi Cola,20.00 OZ,n,n,1,1,141,n,,24,,,,,,n,,,,,,,
012000001314,Drinks,1,198,n,n,Mountain Dew,20.00 OZ,n,n,1,1,124,n,,24,,,,,,n,,,,,,,
012000001345,Drinks,1,0,n,n,Mountain Dew Diet,20.00 OZ,n,n,1,1,128,n,,0,,,,,,n,,,,,,,
012000001574,Drinks,1,0,n,n,Aquafina:Water,1.00 LT,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
012000001598,Grocery Non-Taxable,1,0,n,n,Aquafina,20.00 OZ,n,n,1,1,102,n,,0,,,,,,n,,,,,,,
012000001772,Drinks,1,0,n,n,Starbucks Doubleshot Espresso & Cream,6.50 FL OZ,n,n,1,1,176,n,,0,,,,,,n,,,,,,,
012000001802,Drinks,1,0,n,n,Starbucks Frappuccino Coffee,13.70 OZ,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
012000002243,Drinks,1,0,n,n,Mountain Dew Code Red,20.00 OZ,n,n,1,1,128,n,,0,,,,,,n,,,,,,,
012000002304,Drinks,1,419,n,n,Pepsi Cola,2.00 LT,n,n,1,1,262,n,,8,,,,,,n,,,,,,,
012000002335,Drinks,1,419,n,n,Mountain Dew,2.00 LT,n,n,1,1,262,n,,8,,,,,,n,,,,,,,
012000002946,Drinks,1,0,n,n,Pepsi,1.00 LT,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
012000002977,Drinks,1,0,n,n,Mountain Dew:Soda,1.00 LT,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
012000003103,Drinks,1,0,n,n,Pepsi Wild Cherry,12.00 OZ,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
012000003622,Drinks,1,0,n,n,Mountain Dew Code Red:Soda,1.00 LT,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
012000004520,Drinks,1,0,n,n,Starbucks Frappuccino Mocha,13.70 OZ,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
012000005596,Drinks,1,0,n,n,Pepsi Wild Cherry,20.00 OZ,n,n,1,1,128,n,,0,,,,,,n,,,,,,,
012000013812,Drinks,1,0,n,n,Manzanita Sol:Apple Soda,20.00 FL OZ,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
012000016431,Drinks,1,0,n,n,AMP Energy,16.00 OZ,n,n,1,1,147,n,,0,,,,,,n,,,,,,,
012000016721,Drinks,1,0,n,n,Starbucks Frappuccino Caramel Intense Chilled Coffee Drink,13.70 oz,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
012000018800,Drinks,1,0,n,n,Pepsi Max,20.00 OZ,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
012000021367,Drinks,1,0,n,n,Ocean Spray:Cranberry Juice Cocktail,15.20 FL OZ,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
012000021381,Drinks,1,292,n,n,Ocean Spray:Crangrape,15.20 OZ,n,n,1,1,183,n,,23,,,,,,n,,,,,,,
012000024528,Drinks,1,0,n,n,Lipton Brisk:Raspberry,1.05 QT,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
012000028458,Drinks,1,0,n,n,Starbucks Doubleshot:Mocha,15.00 FL OZ,n,n,1,1,240,n,,0,,,,,,n,,,,,,,
012000028472,Drinks,1,0,n,n,Starbucks Doubleshot:Coffee,15.00 FL OZ,n,n,1,1,240,n,,0,,,,,,n,,,,,,,
012000028496,Drinks,1,0,n,n,Starbucks Doubleshot:Vanilla,15.00 FL OZ,n,n,1,1,240,n,,0,,,,,,n,,,,,,,
012000028625,Drinks,1,0,n,n,Mountain Dew Voltage,20.00 FL OZ,n,n,1,1,128,n,,0,,,,,,n,,,,,,,
012000031878,Drinks,1,0,n,n,Lipton Brisk:Sweet,1.00 LT,n,n,1,1,84,n,,0,,,,,,n,,,,,,,
012000034015,Drinks,1,0,n,n,Brisk Half Lemonade,1,n,n,1,1,84,n,,0,,,,,,n,,,,,,,
012000038488,Drinks,1,0,n,n,Starbucks Doubleshot:White Chocolate,15.00 FL OZ,n,n,1,1,240,n,,0,,,,,,n,,,,,,,
012000046445,Drinks,1,0,n,n,Pure Leaf UnSweet Green Tea,18.5 oz,n,n,1,1,135,n,,0,,,,,,n,,,,,,,
012000064494,Drinks,1,0,n,n,Lemomade,20oz,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
012000071744,Drinks,1,0,n,n,Ocean Spray Orange,15.2 oz,n,n,1,1,147,n,,0,,,,,,n,,,,,,,
012000071751,Drinks,1,0,n,n,Ocean Spray:100% Apple,15.20 FL OZ,n,n,1,1,147,n,,0,,,,,,n,,,,,,,
012000101908,Drinks,1,0,n,n,Lipton Brisk: Lemonade,1 l,n,n,1,1,84,n,,0,,,,,,n,,,,,,,
012000107528,Drinks,1,0,n,n,Pepsi:12 Oz 3 Bonus Cans,15.00 CT,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
012000110467,Drinks,1,0,n,n,Mountain Dew Kickstart:Energizing Fruit Punch,16.00 FL OZ,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
012000112232,Drinks,1,0,n,n,Lipton Peach Iced Tea,20 oz,n,n,1,1,149,n,,0,,,,,,n,,,,,,,
012000151095,Drinks,1,0,n,n,Starbucks Frappuccino White Chocolate Mocha,13.7 oz,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
012000161155,Drinks,1,0,n,n,Life Wtr,33oz,n,n,1,1,158,n,,0,,,,,,n,,,,,,,
012000161162,Drinks,1,0,n,n,Life Wtr,23oz,n,n,1,1,140,n,,0,,,,,,n,,,,,,,
012000161230,Drinks,1,0,n,n,Brisk Iced Tea Strawberry,1 L,n,n,1,1,84,n,,0,,,,,,n,,,,,,,
012000161476,Drinks,1,0,n,n,Brisk Iced Tea,1 l,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
012000171635,Drinks,1,0,n,n,LIFEWTR- 20OZ,20OZ,n,n,1,1,120,n,,0,,,,,,n,,,,,,,
012000171741,Drinks,1,0,n,n,DIET PEPSI 20Z,20OZ,n,n,1,1,128,n,,0,,,,,,n,,,,,,,
012000181290,Drinks,1,0,n,n,STARBUCK ENERGY MOCH,1,n,n,1,1,240,n,,0,,,,,,n,,,,,,,
012000181313,Drinks,1,0,n,n,STARBUCK ENERGY VANI,1,n,n,1,1,240,n,,0,,,,,,n,,,,,,,
012000181337,Drinks,1,0,n,n,STARBUCK ENERGY CARA,1,n,n,1,1,240,n,,0,,,,,,n,,,,,,,
012000183874,Drinks,1,0,n,n,Drink,16 oz,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
012000190063,Drinks,1,299,n,n,Juice dole,15.2 oz,n,n,1,1,183,n,,12,,,,,,n,,,,,,,
012000191435,Drinks,1,249,n,n,Mountain Dew Zero Sugar,20oz,n,n,1,1,158,n,,24,,,,,,n,,,,,,,
012000192869,Drinks,1,0,n,n,Starbucks,9.6 oz,n,n,1,1,240,n,,0,,,,,,n,,,,,,,
012000192906,Drinks,1,0,n,n,STARBUKS Nitro cold brew,0,n,n,1,1,240,n,,0,,,,,,n,,,,,,,
012000202384,Drinks,1,0,n,n,Lipton Brisk:Lemon,1.00 LT,n,n,1,1,84,n,,0,,,,,,n,,,,,,,
012000203084,Drinks,1,0,n,n,Starbucks zero,,n,n,1,1,240,n,,0,,,,,,n,,,,,,,
012000204784,Drinks,1,0,n,n,Starbucks,,n,n,1,1,240,n,,0,,,,,,n,,,,,,,
012000204951,Drinks,1,0,n,n,Mtn Dew,20oz,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
012000205057,Drinks,1,0,n,n,Mtn dew zero,20oz,n,n,1,1,128,n,,0,,,,,,n,,,,,,,
012000205224,Drinks,1,0,n,n,Starbucks,,n,n,1,1,240,n,,0,,,,,,n,,,,,,,
012000205248,Drinks,1,0,n,n,Starbucks,,n,n,1,1,240,n,,0,,,,,,n,,,,,,,
012000206351,Drinks,1,0,n,n,16OZ MDEW RISE TROPICAL SUNRISE,,n,n,1,1,147,n,,0,,,,,,n,,,,,,,
012000210501,Drinks,1,0,n,n,Starbucks zero,,n,n,1,1,240,n,,0,,,,,,n,,,,,,,
012000221521,Drinks,1,259,n,n,Coke,20 OZ,,n,1,1,0,n,,0,,,,,,n,,,,,,,
012000221767,Drinks,1,0,n,n,Coffee,15oz,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
012000222061,Drinks,1,0,n,n,energy drink,16 oz,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
012000223037,Drinks,1,0,n,n,Ice pop,20onz,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
012000286179,Drinks,1,0,n,n,Lipton Pure Leaf:Extra Sweet Tea,18.50 FL OZ,n,n,1,1,135,n,,0,,,,,,n,,,,,,,
012000286186,Drinks,1,0,n,n,Pure Leaf,18.5 OZ,n,n,1,1,135,n,,0,,,,,,n,,,,,,,
012000286193,Drinks,1,0,n,n,Lipton Pure Leaf:Sweet Tea,18.50 FL OZ,n,n,1,1,135,n,,0,,,,,,n,,,,,,,
012000286209,Drinks,1,0,n,n,Lipton Pure Leaf:Unsweetened,18.50 FL OZ,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
012000286223,Drinks,1,0,n,n,Lipton Pure Leaf Raspberry,18.50 FL OZ,n,n,1,1,135,n,,0,,,,,,n,,,,,,,
012000384196,Drinks,1,0,n,n,Lipton Brisk: Pink Lemonade,1.00 LT,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
012000567490,Drinks,1,239,n,n,Lipton Brisk-Fruit Punch,1.00 LT,n,n,1,1,146,n,,15,,,,,,n,,,,,,,
