rank,upc,department,name,size,price,stock,margin,rank_score,quick_seo_title,quick_description,quick_meta_description,quick_sellability_rating,quick_imageability_rating,quick_imageability_notes,quick_image_prompt,judge_sellability,judge_imageability,judge_image_match,judge_note,quick_filter_score,judge_score,selection_stage,passed_thresholds,pro_seo_title,pro_description,pro_meta_description,pro_sellability_rating,pro_imageability_rating,pro_imageability_notes,pro_image_prompt
410,619947000013,Vodka,TITOS HANDMADE VODKA 80,1LT,27.49,12.0,6.31,49.651,Tito's Handmade Vodka 1L,Tito's Handmade Vodka is a premium craft vodka made from corn. Gluten-free and smooth. 1 liter bottle. Great for cocktails or sipping.,"Buy Tito's Handmade Vodka 1L. Premium craft vodka, gluten-free and smooth. In stock.",10,10,Iconic bottle,A 1L bottle of Tito's Handmade Vodka on white background.,,,,,1152.051,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Tito's Handmade Vodka 1L | 80 Proof | Buy Online,"Tito's Handmade Vodka is crafted in small batches from corn, distilled six times for a clean, smooth taste. This 1-liter bottle at 80 proof delivers a gluten-free spirit perfect for cocktails or sipping neat. A versatile, award-winning American vodka.","Buy Tito's Handmade Vodka 1L, 80 proof. Small-batch, gluten-free corn vodka with a smooth finish. Perfect for cocktails. Order online.",9,10,"Distinctive bottle with recognizable label, easy to render.","Tito's Handmade Vodka 1L bottle, clear glass, brown label with text, plain white background, product photography."
434,080432500170,Whiskey,Jameson Irish Whiskey,750ml,31.99,10.0,7.4,49.347,Jameson Irish Whiskey 750ml,Jameson Irish Whiskey is a smooth triple-distilled blend. Notes of vanilla and spice. 750ml bottle. Great for sipping or cocktails.,Buy Jameson Irish Whiskey 750ml. Smooth triple-distilled Irish whiskey. Shop now.,10,10,Iconic bottle,A 750ml bottle of Jameson Irish Whiskey on white background.,,,,,1151.347,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Jameson Irish Whiskey 750ml | Smooth Triple-Distilled Blend,"Jameson Irish Whiskey is a smooth, triple-distilled blend of pot still and fine grain whiskeys. Aged in oak casks, it offers balanced notes of vanilla, toasted wood, and sweet spice. Perfect for sipping neat, on the rocks, or in classic cocktails like the Irish Coffee or Whiskey Sour.",Buy Jameson Irish Whiskey 750ml online. Smooth triple-distilled blend with vanilla and spice notes. Perfect for cocktails or sipping. Order now for pickup or delivery.,9,10,"Iconic green bottle with clear label, easy to render.","Jameson Irish Whiskey 750ml bottle, plain white background, product photography, no people, no text overlays."
614,080660957760,Beer,Modelo Especial,24/12 oz,37.57,10.0,8.67,47.337,Modelo Especial Beer 24/12 oz - Case,Modelo Especial is a classic Mexican lager. Crisp and smooth with a light body. Perfect for any occasion. This case includes 24 bottles of 12 oz each. Enjoy cold.,Buy Modelo Especial Beer 24-pack 12 oz bottles. Classic Mexican lager. Crisp and smooth.,10,10,Very recognizable bottle packaging. Easy.,"Modelo Especial 24-pack of 12 oz bottles on white background, front of case.",,,,,1149.337,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Modelo Especial 24/12 oz Cans | Mexican Lager Beer,"Modelo Especial is a rich, full-flavored pilsner-style lager with a crisp, refreshing finish. Brewed with premium ingredients, this Mexican beer delivers a smooth taste and golden color. Perfect for any occasion, from casual gatherings to celebrations. Pack includes 24 cans, each 12 oz.","Buy Modelo Especial 24/12 oz cans. A crisp, refreshing Mexican lager with a smooth finish. Perfect for parties and everyday enjoyment. Order online today.",9,10,"Well-known brand, clear packaging, easy to visualize.","Modelo Especial 24-pack of 12 oz cans, front view, plain white background, product-only, no text overlays."
628,018200533495,Beer,Bud Light 24-Pack 12 FL OZ Bottle,288.00 FL OZ,32.99,10.0,6.99,46.997,Bud Light 24-Pack 12 FL OZ Bottles,"Bud Light 24-pack of 12 oz bottles. Light American lager, crisp and refreshing. Perfect for parties and gatherings. Enjoy cold.","Buy Bud Light 24-pack 12 oz bottles. Light lager, great for parties. Refreshing.",10,10,Classic pack. Very recognizable.,"Bud Light 24-pack of 12 oz bottles on white background, front of case.",,,,,1148.997,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Bud Light 24-Pack 12 FL OZ Bottles | 288 FL OZ Total,"Stock up with Bud Light's 24-pack of 12 fl oz bottles. This light lager delivers a crisp, clean, and refreshing taste with a subtle hop aroma. Perfect for parties, tailgates, or casual get-togethers, it's an easy-drinking classic that pairs well with any occasion. Enjoy the smooth finish and consistent quality of America's favorite light beer.","Buy Bud Light 24-Pack 12 FL OZ Bottles online. Crisp, refreshing light lager in a convenient case. Perfect for gatherings. 288 total fl oz. Order now!",9,10,"Iconic blue packaging, widely recognized, easy to depict.","Bud Light 24-pack case of 12 fl oz glass bottles, blue and white packaging, plain white background, product-only, no people."
644,619947000020,Vodka,TITOS HANDMADE VODKA 80,750ML,20.69,8.0,4.79,46.745,Tito's Handmade Vodka 750ml - 80 Proof,"Tito's Handmade Vodka is a premium gluten-free vodka. 750 ml bottle, 80 proof. Smooth and award-winning. Perfect for any cocktail.","Buy Tito's Handmade Vodka 750ml. Gluten-free, small batch, smooth. Customer favorite.",10,10,Iconic bottle. Very recognizable.,"Tito's Handmade Vodka 750ml bottle on white background, front label.",,,,,1148.345,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Tito's Handmade Vodka 750ml | Gluten-Free Craft Vodka,"Tito's Handmade Vodka is crafted in small batches from corn, yielding a smooth, clean taste. This 80-proof spirit is naturally gluten-free, making it a versatile choice for cocktails or sipping neat. Distilled in Austin, Texas, it's a premium vodka at an approachable price.","Buy Tito's Handmade Vodka 750ml online. Small-batch, gluten-free craft vodka with a smooth finish. Perfect for cocktails. 80 proof. Order now.",9,10,"Distinctive bottle with recognizable label and cap, easy to depict.","Tito's Handmade Vodka 750ml bottle, plain white background, product-only, no people, no text overlays."
682,080660957579,Beer,Modelo Especial 12-Pack Bottle,144.00 FL OZ,20.99,9.0,4.24,46.057,Modelo Especial 12-Pack Bottle - 12 oz,Modelo Especial 12-pack of 12 oz bottles. Classic Mexican lager. Crisp and smooth. Perfect for any occasion.,"Buy Modelo Especial 12-pack 12 oz bottles. Mexican lager, crisp and smooth.",10,10,"12-pack, very recognizable.","Modelo Especial 12-pack of 12 oz bottles on white background, front.",,,,,1147.857,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Modelo Especial 12-Pack Bottle | 144 FL OZ | Mexican Lager,"Modelo Especial 12-pack bottles deliver a crisp, refreshing Mexican lager with a smooth finish. Perfect for gatherings, this 144 FL OZ pack offers great value. Enjoy its balanced flavor and golden pour anytime.","Buy Modelo Especial 12-Pack Bottle (144 FL OZ) online. Crisp Mexican lager, perfect for parties. Great value pack. Order now for pickup or delivery.",9,10,"Well-known brand, clear packaging, easy to visualize.","Modelo Especial 12-pack bottle case, 144 FL OZ, front view, plain white background, no people."
309,089540122748,Liqueurs,Kahlua Coffee Liqueur,50 ml,1.99,120.0,0.49,50.432,Kahlua Coffee Liqueur 50ml - Mini Bottle | Classic Coffee Drink,Kahlua Coffee Liqueur is the world's favorite coffee liqueur. This 50ml mini bottle is perfect for sampling or adding to cocktails. Rich coffee flavor with a hint of vanilla.,"Buy Kahlua Coffee Liqueur 50ml mini. Classic coffee liqueur, perfect for cocktails. Available now.",9,10,Small Kahlua bottle with black label.,"Kahlua Coffee Liqueur 50ml mini bottle on white background, front label.",,,,,1060.432,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Kahlua Coffee Liqueur 50ml Mini Bottle,"Rich, smooth coffee liqueur from Mexico. Perfect for cocktails, baking, or sipping neat. This 50ml mini bottle is ideal for sampling or gifting. Enjoy the classic taste of Kahlua in a convenient small size.","Buy Kahlua Coffee Liqueur 50ml mini bottle. Rich, smooth Mexican coffee liqueur for cocktails, baking, or sipping. Great for sampling or gifts.",8,10,"Well-known brand, distinct bottle shape and label.","Kahlua Coffee Liqueur 50ml mini bottle, plain white background, product-only, no text overlays."
152,018200250019,Beer,Bud Light Can,25 Oz,3.59,30.0,1.18,54.388,Bud Light Can 25oz - American Lager,"Bud Light in a 25oz can. The classic American light lager with a crisp, refreshing taste. Perfect for parties, barbecues, or any casual gathering. A favorite.","Buy Bud Light 25oz can. Crisp, refreshing light lager. Great for parties. Order now!",10,9,"Iconic brand, standard can.","Bud Light 25oz can on white background, blue label, front view, no people.",,,,,1150.388,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Bud Light Can 25 Oz - Crisp American Lager | Buy Online,"Enjoy the crisp, refreshing taste of Bud Light in a convenient 25 oz can. This light lager is brewed with a blend of barley malts and rice for a clean, smooth finish. Perfect for casual gatherings, tailgates, or relaxing at home. Stock up on this classic American favorite today.","Buy Bud Light Can 25 Oz online. Crisp, refreshing light lager with a clean finish. Perfect for any occasion. Order now for great taste and convenience.",9,10,"Iconic blue can with white Bud Light logo, easily recognizable.","Bud Light 25 oz aluminum can, white background, product photography, no text overlays, no people."
102,082184090503,Whiskey,Jack Daniel's Black,375ml,12.66,23.0,2.92,55.576,Jack Daniel's Black 375ml - Tennessee Whiskey,"Jack Daniel's Old No. 7 Black Label Tennessee Whiskey in a 375ml bottle. Known for its smooth, charcoal-mellowed flavor, this iconic whiskey is perfect for sipping, cocktails, or mixing. A timeless choice for any occasion.","Shop Jack Daniel's Black 375ml Tennessee Whiskey. Smooth, charcoal-mellowed flavor. Great for sipping or cocktails. Order online!",10,9,"Iconic square bottle, easy to imagine.","Jack Daniel's Black Label 375ml bottle on white background, front label, amber liquid, no shadows.",,,,,1150.176,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Jack Daniel's Black Tennessee Whiskey 375ml,"Jack Daniel's Black Tennessee Whiskey is charcoal-mellowed for smoothness. This 375ml bottle offers a classic, full-bodied flavor with notes of caramel, vanilla, and toasted oak, perfect for sipping neat or in cocktails.","Buy Jack Daniel's Black Tennessee Whiskey 375ml. Smooth, charcoal-mellowed whiskey with caramel and oak notes. Perfect for sipping or mixing. Order online.",9,10,"Iconic square bottle with black label, widely recognized.","Jack Daniel's Black Tennessee Whiskey 375ml bottle, plain white background, product-only, no people, no text overlays."
158,018200250002,Beer,Budweiser,25 Oz,3.59,29.0,1.18,54.126,Budweiser 25oz Can - American Lager,"Budweiser in a 25oz can. The iconic American lager with a balanced, crisp taste. Perfect for any occasion, from game day to backyard barbecues.",Buy Budweiser 25oz can. Classic American lager. Crisp and balanced. Order now!,10,9,"Iconic brand, standard can.","Budweiser 25oz can on white background, red label, front view.",,,,,1149.926,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Budweiser 25 Oz Can - Classic American Lager,"Enjoy the crisp, smooth taste of Budweiser, America's iconic lager. Brewed with the finest barley malt and a blend of premium hop varieties, this 25 oz can delivers a refreshing, medium-bodied beer perfect for any occasion.","Buy Budweiser 25 Oz can. Crisp, smooth American lager. Perfect for parties, tailgates, or relaxing at home. Order online for pickup or delivery.",9,10,"Iconic red and white can, easily recognizable.","Single 25 oz Budweiser beer can, white background, product photography, no people."
